"","X","Y","X_ACC","Y_ACC","Z_ACC","X_GYR","Y_GYR","Z_GYR","status"
"3853",310.596,-128.359,0.095,0.214,-0.908,79.511,-5.557,18.321,"0"
"3854",316.253,-132.935,0.096,0.214,-0.908,79.618,-5.42,18.504,"0"
"3855",321.949,-137.177,0.094,0.214,-0.908,79.527,-5.603,18.336,"0"
"3856",327.79,-141.143,0.094,0.214,-0.909,79.557,-5.573,18.412,"0"
"3857",337.261,-148.13,0.095,0.213,-0.908,79.48101,-5.634,18.626,"0"
"3858",332.615,-144.754,0.09700001,0.214,-0.91,79.573,-5.496,18.565,"0"
"3859",341.1,-151.164,0.096,0.212,-0.908,79.527,-5.618,18.412,"0"
"3860",345.212,-154.022,0.093,0.213,-0.91,79.557,-5.756,18.305,"0"
"3861",348.021,-156.623,0.096,0.215,-0.909,79.664,-5.542,18.305,"0"
"3862",353.736,-161.21,0.094,0.215,-0.907,79.618,-5.634,18.412,"0"
"3863",350.864,-159.025,0.096,0.212,-0.9110001,79.48101,-5.496,18.473,"0"
"3864",357.2,-163.34,0.095,0.216,-0.9110001,79.695,-5.481,18.489,"0"
"3865",359.619,-165.207,0.093,0.214,-0.909,79.603,-5.802,18.565,"0"
"3866",361.979,-166.954,0.095,0.212,-0.909,79.649,-5.664,18.595,"0"
"3867",366.625,-170.113,0.095,0.214,-0.912,79.695,-5.511,18.427,"0"
"3868",364.466,-168.58,0.094,0.213,-0.9049999,79.603,-5.679,18.397,"0"
"3869",368.877,-171.502,0.094,0.213,-0.909,79.45,-5.695,18.519,"0"
"3870",371.132,-173.867,0.093,0.214,-0.912,79.557,-5.634,18.427,"0"
"3871",370.255,-172.759,0.095,0.215,-0.906,79.588,-5.481,18.366,"0"
"3872",374.923,-176.037,0.095,0.213,-0.91,79.603,-5.588,18.489,"0"
"3873",372.975,-175.001,0.096,0.214,-0.909,79.649,-5.71,18.443,"0"
"3874",375.882,-176.959,0.09700001,0.212,-0.906,79.618,-5.771,18.489,"0"
"3875",376.824,-177.802,0.095,0.214,-0.907,79.557,-5.542,18.336,"0"
"3876",378.933,-179.319,0.09700001,0.216,-0.907,79.48101,-5.557,17.939,"0"
"3877",378.009,-178.593,0.094,0.216,-0.908,79.679,-5.756,18.26,"0"
"3878",380.312,-180.009,0.09799999,0.213,-0.909,79.771,-5.771,18.275,"0"
"3879",381.446,-180.644,0.096,0.214,-0.907,79.573,-5.588,18.229,"0"
"3880",382.343,-181.227,0.094,0.213,-0.908,79.603,-5.45,18.26,"0"
"3881",382.367,-181.726,0.093,0.216,-0.907,79.573,-5.527,18.26,"0"
"3882",383.343,-182.237,0.092,0.216,-0.9110001,79.78601,-5.71,17.893,"0"
"3883",383.73,-182.673,0.09099999,0.217,-0.908,79.588,-5.588,17.908,"0"
"3884",384.08,-183.069,0.093,0.218,-0.908,79.71,-5.786,19.634,"0"
"3885",384.372,-183.462,0.09099999,0.221,-0.91,79.78601,-5.618,16.595,"0"
"3886",385.283,-183.506,0.095,0.218,-0.908,79.573,-5.542,16.718,"0"
"3887",384.597,-183.816,0.093,0.218,-0.909,79.511,-5.878,16.489,"0"
"3888",124.78,-11.957,1.115,0.157,0.166,79.908,-5.817,20.611,"0"
"3889",133.415,-17.995,1.114,0.159,0.167,79.863,-5.634,20.519,"0"
"3890",140.896,-23.588,1.117,0.161,0.168,79.817,-5.42,21.939,"0"
"3891",148.509,-28.761,1.115,0.161,0.166,79.74,-5.221,21.115,"0"
"3892",160.665,-37.997,1.115,0.158,0.163,79.802,-5.618,19.939,"0"
"3893",155.023,-33.556,1.116,0.154,0.165,79.985,-5.695,19.496,"0"
"3894",166.267,-42.187,1.111,0.159,0.165,79.908,-6.229,21.45,"0"
"3895",171.103,-45.993,1.118,0.157,0.158,79.603,-5.237,20.626,"0"
"3896",180.321,-52.872,1.115,0.153,0.158,80.137,-8.824,19.679,"0"
"3897",176.366,-49.735,1.116,0.155,0.16,79.832,-6.153,20.427,"0"
"3898",187.771,-58.693,1.115,0.155,0.157,79.618,-6,21.038,"0"
"3899",183.962,-55.94,1.114,0.158,0.155,79.939,-5.679,20.626,"0"
"3900",191.336,-61.131,1.114,0.152,0.16,79.756,-6.779,20.015,"0"
"3901",196.781,-65.657,1.117,0.158,0.155,80.015,-4.885,21.313,"0"
"3902",194.099,-63.306,1.116,0.154,0.161,79.78601,-6.229,19.679,"0"
"3903",199.37,-67.472,1.116,0.157,0.157,79.832,-4.916,21.099,"0"
"3904",201.695,-69.152,1.116,0.156,0.16,79.618,-6.061,21.176,"0"
"3905",204.239,-70.752,1.115,0.154,0.159,80.046,-6.504,20.565,"0"
"3906",208.059,-73.645,1.117,0.154,0.157,79.908,-5.847,20.702,"0"
"3907",209.279,-74.849,1.117,0.152,0.156,80.305,-6.305,20.641,"0"
"3908",211.544,-76.317,1.116,0.159,0.155,80,-5.45,21.328,"0"
"3909",213.078,-77.292,1.117,0.151,0.157,79.878,-6.519,21.038,"0"
"3910",206.582,-72.325,1.118,0.155,0.159,79.939,-5.481,19.908,"0"
"3911",215.145,-79.32701,1.115,0.151,0.155,80.489,-6.26,21.557,"0"
"3912",214.15,-78.337,1.116,0.152,0.157,79.557,-6.076,20.656,"0"
"3913",216.195,-80.262,1.117,0.151,0.161,79.634,-4.794,20.412,"0"
"3914",219.521,-81.90001,1.116,0.151,0.16,79.893,-6.29,20.198,"0"
"3915",218.318,-81.184,1.117,0.15,0.157,80.031,-5.145,20.046,"0"
"3916",220.491,-82.607,1.117,0.146,0.156,80.168,-6.107,19.664,"0"
"3917",221.185,-83.336,1.116,0.146,0.16,80.015,-5.573,20.748,"0"
"3918",222.65,-84.403,1.117,0.148,0.156,80.076,-5.481,18.901,"0"
"3919",223.319,-84.68801,1.118,0.15,0.159,80.39701,-5.771,20.427,"0"
"3920",225.084,-85.67,1.118,0.148,0.159,80.076,-6.092,19.191,"0"
"3921",224.31,-85.247,1.115,0.15,0.161,80.076,-4.916,19.588,"0"
"3922",226.1,-86.406,1.117,0.149,0.159,80.031,-4.718,18.794,"0"
"3923",225.64,-86.115,1.119,0.152,0.159,80.015,-6.015,19.786,"0"
"3924",226.464,-86.742,1.116,0.156,0.164,79.954,-5.618,21.023,"0"
"3925",226.649,-87.003,1.117,0.154,0.164,79.74,-5.481,21.588,"0"
"3926",227.068,-87.24401,1.118,0.151,0.163,79.679,-6.137,20.473,"0"
"3927",223.667,-90.098,1.109,0.143,0.165,79.267,-8.885,12.611,"0"
"3928",225.657,-90.863,1.112,0.131,0.146,80.39701,-10.092,24.214,"0"
"3929",224.966,-91.429,1.119,0.158,0.157,81.328,-6.443,23.573,"0"
"3930",205.261,-8.585,-0.875,0.255,0.217,81.221,-6.977,21.435,"0"
"3931",201.937,-13.08,-0.875,0.255,0.215,80.55,-6.855,20.672,"0"
"3932",208.302,-4.485,-0.8719999,0.255,0.215,79.527,-5.481,18.885,"0"
"3933",210.203,-0.555,-0.871,0.259,0.219,78.87001,-5.481,19.649,"0"
"3934",212.406,3.03,-0.874,0.253,0.215,80.489,-5.969,20.076,"0"
"3935",216.454,9.311,-0.874,0.257,0.214,79.466,-5.557,18.702,"0"
"3936",214.312,6.281,-0.875,0.252,0.212,80.21399,-6.458,19.313,"0"
"3937",218.855,12.077,-0.875,0.252,0.213,80.153,-5.695,19.725,"0"
"3938",220.208,14.691,-0.874,0.254,0.217,80.183,-6,19.023,"0"
"3939",221.435,17.08,-0.874,0.248,0.214,80.656,-6.565,19.939,"0"
"3940",225.536,21.172,-0.873,0.252,0.213,80.39701,-6.092,19.573,"0"
"3941",223.222,19.241,-0.87,0.253,0.215,80.366,-5.878,18.519,"0"
"3942",227.502,24.823,-0.8719999,0.251,0.215,80.122,-6.015,19.557,"0"
"3943",226.589,23.02,-0.873,0.253,0.216,80.336,-5.679,19.908,"0"
"3944",228.142,26.448,-0.874,0.251,0.216,80.24401,-6.137,20.107,"0"
"3945",230.038,29.203,-0.8719999,0.251,0.211,80.061,-5.969,19.863,"0"
"3946",229.49,27.895,-0.873,0.251,0.213,80.687,-6.061,19.481,"0"
"3947",231.564,31.591,-0.871,0.25,0.211,80.275,-5.496,19.618,"0"
"3948",230.698,30.439,-0.874,0.248,0.21,80.061,-5.74,19.695,"0"
"3949",232.217,32.716,-0.874,0.253,0.214,80.015,-5.847,20.443,"0"
"3950",233.258,33.677,-0.876,0.251,0.213,80.626,-6.443,20.397,"0"
"3951",233.609,34.468,-0.874,0.256,0.215,80.489,-6.198,19.725,"0"
"3952",233.819,35.244,-0.876,0.253,0.214,80.366,-6.107,19.573,"0"
"3953",234.316,36.046,-0.874,0.251,0.213,80.366,-6.534,21.16,"0"
"3954",235.598,36.678,-0.875,0.254,0.215,80.641,-6.275,21.008,"0"
"3955",235.745,38.911,-0.877,0.253,0.206,81.16,-6.733,19.221,"0"
"3956",235.554,37.513,-0.875,0.254,0.213,80.168,-5.786,19.435,"0"
"3957",235.847,39.363,-0.874,0.257,0.207,80.84,-6.382,19.008,"0"
"3958",236.222,39.569,-0.873,0.251,0.209,80.24401,-5.45,19.924,"0"
"3959",236.778,40.445,-0.88,0.245,0.202,81.13,-7.847,19.679,"0"
"3960",237.26,41.258,-0.876,0.248,0.203,80.29,-5.527,18.992,"0"
"3961",237.589,42.042,-0.875,0.246,0.198,79.588,-3.481,19.115,"0"
"3962",237.023,40.71,-0.874,0.249,0.206,81.099,-6.824,19.099,"0"
"3963",238.085,43.184,-0.874,0.249,0.187,80.489,-6.214,18.641,"0"
"3964",238.09,43.763,-0.877,0.249,0.179,82.015,-4.84,20.015,"0"
"3965",238.02,44.861,-0.875,0.251,0.168,81.63401,-6.229,23.725,"0"
"3966",238.189,45.135,-0.875,0.264,0.17,80.55,-5.191,20.336,"0"
"3967",237.901,45.251,-0.875,0.266,0.167,80.229,-5.756,18.611,"0"
"3968",148.24,-11.646,0.127,1.191,0.187,79.74,-6.26,19.45,"0"
"3969",160.783,-12.522,0.126,1.19,0.186,80.458,-6.382,19.038,"0"
"3970",171.253,-13.281,0.124,1.191,0.182,80.092,-5.954,18.748,"0"
"3971",181.274,-14.018,0.124,1.192,0.185,78.931,-6.321,18.748,"0"
"3972",190.702,-14.708,0.121,1.19,0.186,79.78601,-6.153,19.527,"0"
"3973",199.609,-15.358,0.122,1.189,0.187,80.41201,-6.244,19.771,"0"
"3974",215.316,-16.394,0.12,1.191,0.185,81.084,-6.29,19.496,"0"
"3975",207.406,-15.92,0.122,1.192,0.185,80.565,-6.321,19.344,"0"
"3976",221.992,-16.849,0.122,1.192,0.182,81.435,-4.061,19.74,"0"
"3977",234.242,-17.537,0.124,1.191,0.185,80.382,-6.305,19.481,"0"
"3978",228.66,-17.188,0.125,1.192,0.187,80.275,-6.366,18.901,"0"
"3979",239.24,-17.946,0.125,1.192,0.188,78.38201,-6.26,19.756,"0"
"3980",243.438,-18.283,0.125,1.192,0.188,80.733,-6.275,19.527,"0"
"3981",247.477,-18.587,0.126,1.191,0.188,80.229,-6.397,19.573,"0"
"3982",251.563,-18.9,0.124,1.191,0.187,80.29,-6.412,19.679,"0"
"3983",255.439,-19.159,0.125,1.189,0.187,80.992,-6.305,19.42,"0"
"3984",258.963,-19.392,0.123,1.191,0.186,80.886,-6.336,19.618,"0"
"3985",262.43,-19.64,0.123,1.193,0.189,80.41201,-6.397,19.45,"0"
"3986",266.048,-19.927,0.125,1.19,0.185,80.382,-6.168,19.496,"0"
"3987",269.242,-20.151,0.126,1.191,0.187,80.55,-6.336,19.664,"0"
"3988",273.877,-20.539,0.125,1.191,0.19,80.718,-6.626,18.977,"0"
"3989",271.514,-20.346,0.124,1.191,0.19,81.03801,-6.443,19.359,"0"
"3990",276.572,-20.747,0.126,1.191,0.187,79.92401,-6.565,19.298,"0"
"3991",277.989,-20.886,0.125,1.191,0.194,81.695,-6.153,19.389,"0"
"3992",279.179,-21.006,0.129,1.192,0.189,81.389,-6.641,18.977,"0"
"3993",281.649,-21.231,0.124,1.191,0.191,80.733,-6.351,19.588,"0"
"3994",283.828,-21.393,0.123,1.191,0.189,80.092,-6.29,18.901,"0"
"3995",285.168,-21.589,0.124,1.192,0.191,79.817,-6.58,18.87,"0"
"3996",286.491,-21.662,0.125,1.191,0.191,79.48101,-6.397,19.802,"0"
"3997",287.473,-21.714,0.123,1.191,0.192,80.626,-6.351,19.74,"0"
"3998",289.413,-21.838,0.127,1.192,0.19,83.42,-6.504,19.756,"0"
"3999",280.382,-21.103,0.126,1.191,0.191,79.557,-6.244,19.099,"0"
"4000",291.321,-22.028,0.125,1.191,0.191,82.809,-6.458,20.137,"0"
"4001",291.765,-22.12,0.127,1.189,0.193,81.786,-6.534,19.802,"0"
"4002",292.259,-22.163,0.127,1.19,0.177,83.38901,-6.305,18.977,"0"
"4003",293.566,-22.323,0.127,1.192,0.182,81.13,-5.985,18.779,"0"
"4004",293.503,-22.297,0.128,1.193,0.179,82.107,-6.672,19.115,"0"
"4005",293.821,-22.383,0.127,1.196,0.172,81.557,-6.244,18.992,"0"
"4006",293.854,-22.443,0.126,1.196,0.163,84.88601,-6.29,18.382,"0"
"4007",295.64,-22.521,0.128,1.196,0.165,83.359,-5.893,18.58,"0"
"4008",295.919,-22.529,0.126,1.193,0.179,82.70201,-6.58,18.397,"0"
"4009",295.882,-22.569,0.126,1.194,0.177,79.92401,-6.351,19.344,"0"
"4010",295.793,-22.541,0.128,1.19,0.18,84.321,-6.321,19.023,"0"
"4011",295.972,-22.618,0.13,1.197,0.167,79.817,-6.458,19.282,"0"
"4012",296.078,-22.773,0.134,1.193,0.182,85.282,-6.29,19.282,"0"
"4013",141.403,-13.612,0.9599999,0.164,0.668,80.76301,-6.931,21.435,"0"
"4014",149.065,-17.821,0.9599999,0.168,0.668,80.061,-8.29,22.183,"0"
"4015",156.417,-21.814,0.9610001,0.167,0.668,80.42701,-6.26,20.58,"0"
"4016",162.236,-25.371,0.963,0.167,0.668,81.099,-6.733,21.221,"0"
"4017",167.694,-28.685,0.9610001,0.166,0.666,80.611,-6.382,20.565,"0"
"4018",172.803,-31.661,0.963,0.165,0.668,80.87001,-6.656,20.595,"0"
"4019",177.758,-34.403,0.9599999,0.166,0.668,80.794,-7.115,21.282,"0"
"4020",181.991,-36.981,0.9599999,0.165,0.667,80.58001,-6.779,20.931,"0"
"4021",185.481,-39.332,0.9610001,0.166,0.666,80.76301,-6.214,20.611,"0"
"4022",188.444,-41.484,0.9610001,0.169,0.67,80.84,-6.58,20.824,"0"
"4023",192.092,-43.496,0.963,0.167,0.67,80.824,-6.748,21.038,"0"
"4024",196.258,-45.45,0.9599999,0.171,0.664,81.00801,-6.168,20.824,"0"
"4025",198.994,-47.084,0.9610001,0.169,0.671,80.809,-6.504,20.58,"0"
"4026",201.805,-48.685,0.9610001,0.168,0.67,80.534,-6.626,20.992,"0"
"4027",203.78,-50.037,0.963,0.164,0.671,79.92401,-6.672,20.916,"0"
"4028",207.15,-51.471,0.9599999,0.164,0.6690001,81.221,-6.779,20.29,"0"
"4029",208.782,-52.641,0.9610001,0.164,0.665,79.954,-6.87,21.573,"0"
"4030",210.525,-53.843,0.963,0.163,0.668,80.779,-6.015,20.855,"0"
"4031",212.488,-55.017,0.9610001,0.168,0.672,80.641,-6.305,21.481,"0"
"4032",213.829,-55.848,0.9610001,0.161,0.672,79.237,-7.832,20.58,"0"
"4033",215.578,-56.33,0.9610001,0.168,0.668,80.656,-6.244,21.145,"0"
"4034",216.939,-57.397,0.962,0.171,0.677,79.099,-4.916,23.496,"0"
"4035",218.219,-57.191,0.957,0.159,0.678,82.382,-6.611,22.977,"0"
"4036",219.825,-58.326,0.957,0.16,0.674,76.427,-5.908,23.16,"0"
